CompNams,RT,RT_tol,Parent_m_z,Daughter_m_z,IS,Conc
PEp 34:2,5.64,0.2,700.5276,364.2,PE 33:1 (d7),0.7
PE 33:1 (d7),5.51,0.2,711.48,570.5381,PE 33:1 (d7),7
PE 34:2,5.4,0.2,716.5225,575.5225,PE 33:1 (d7),7
PEp 36:5,5.23,0.2,722.51,364.2,PE 33:1 (d7),0.7
PEp 36:4,5.57,0.2,724.5276,364.2,PE 33:1 (d7),0.7
PEp 36:3,5.69,0.2,726.5276,390.2,PE 33:1 (d7),0.7
PE 36:4,5.33,0.2,740.5225,599.5225,PE 33:1 (d7),7
PE 36:3,5.44,0.2,742.5381,601.5381,PE 33:1 (d7),7
PEp 38:6,5.43,0.2,748.5276,364.2,PE 33:1 (d7),0.7
PEp 38:5,5.61,0.2,750.5432,390.2,PE 33:1 (d7),0.7
PE 38:6,5.2,0.2,764.5222,623.5225,PE 33:1 (d7),7
PE 38:5,5.4,0.1,766.5381,625.5381,PE 33:1 (d7),7
PEp 40:7,5.48,0.2,774.5432,390.2,PE 33:1 (d7),0.7
PE 40:7,5.24,0.2,790.5381,649.5381,PE 33:1 (d7),7
PEp 34:1,6.03,0.2,702.5432,364.2,PE 33:1 (d7),0.7
PE 34:1,5.76,0.2,718.5381,577.5381,PE 33:1 (d7),7
PEp 36:2,6.12,0.2,728.5589,392.2,PE 33:1 (d7),0.7
PEp 36:1,6.45,0.2,730.5745,392.2,PE 33:1 (d7),0.7
PEP 36:1 (d9),6.46,0.2,739.63,392.2,PEP 36:1 (d9),0.7
PE 36:2,5.89,0.2,744.5538,603.5538,PE 33:1 (d7),7
PE 36:1,6.27,0.1,746.5694,605.5694,PE 33:1 (d7),7
PEp 38:4,6.05,0.2,752.5582,392.2,PE 33:1 (d7),0.7
PE 38:4,5.83,0.2,768.5538,627.5538,PE 33:1 (d7),7
PE 38:3,6.04,0.1,770.55,629.55,PE 33:1 (d7),7
PEp 40:6,5.93,0.2,776.5589,392.2,PE 33:1 (d7),0.7
PEp 40:4,6.47,0.2,780.59,420.2,PE 33:1 (d7),0.7
PE 40:6,5.7,0.2,792.5532,651.5538,PE 33:1 (d7),7
PE 40:5,5.87,0.1,794.5694,653.5694,PE 33:1 (d7),7
Dihydro SM C18:0,5.83,0.1,733.62,184.07,SM C18:1 (d9),40
SM C19:0,5.91,0.1,745.63,184.07,SM C18:1 (d9),40
SM C20:0,6.12,0.1,759.64,184.07,SM C18:1 (d9),40
Dihydro SM C20:0,6.28,0.1,761.65,184.07,SM C18:1 (d9),40
SM C21:0,6.35,0.1,773.66,184.07,SM C18:1 (d9),40
SM C22:2,5.71,0.1,783.64,184.07,SM C18:1 (d9),40
SM C22:1,6.18,0.1,785.65,184.07,SM C18:1 (d9),40
SM C22:0,6.56,0.1,787.67,184.07,SM C18:1 (d9),40
SM C23:1a,6.31,0.02,799.68,184.07,SM C18:1 (d9),40
SM C24:3,5.77,0.1,809.67,184.07,SM C18:1 (d9),40
SM C24:2,6.16,0.1,811.68,184.07,SM C18:1 (d9),40
SM C24:1,6.5,0.2,813.69,184.07,SM C18:1 (d9),40
SM C26:2,6.58,0.1,839.71,184.07,SM C18:1 (d9),40
PCe 34:0,6.4,0.1,748.62,184.07,PCP 36:1 (d9),10
PCe 36:2,6.1,0.1,772.62,184.07,PCP 36:1 (d9),10
PCe 36:1a,6.35,0.04,774.62,184.07,PCP 36:1 (d9),10
PCP 36:1 (d9),6.33,0.2,781.68,184.07,PCP 36:1 (d9),10
PCe 38:4,6.03,0.1,796.62,184.07,PCP 36:1 (d9),10
PCe 38:3,6.22,0.1,798.64,184.07,PCP 36:1 (d9),10
PCe 38:2,6.39,0.1,800.65,184.07,PCP 36:1 (d9),10
PCe 40:5,6.03,0.2,822.61,184.07,PCP 36:1 (d9),10
PCe 40:4,6.44,0.2,824.62,184.07,PCP 36:1 (d9),10
PCe 40:3,6.5,0.2,826.64,184.07,PCP 36:1 (d9),10
PCe 42:6,6.09,0.1,848.64,184.07,PCP 36:1 (d9),10
PCe 42:5,6.42,0.2,850.64,184.07,PCP 36:1 (d9),10
PCe 44:6,6.47,0.2,876.65,184.07,PCP 36:1 (d9),10
PC 34:0,6.13,0.1,762.6007,184.07,PC 33:1 (d7),210
PC 36:2,5.78,0.2,786.6007,184.07,PC 33:1 (d7),210
PC 36:1a,6.17,0.1,788.6164,184.07,PC 33:1 (d7),210
PC 36:0,6.7,0.1,790.63,184.07,PC 33:1 (d7),210
PC 38:4,5.72,0.2,810.6007,184.07,PC 33:1 (d7),210
PC 38:3a,5.95,0.1,812.6007,184.07,PC 33:1 (d7),210
PC 38:2a,6.23,0.1,814.6007,184.07,PC 33:1 (d7),210
PC 38:0,6.94,0.1,818.67,184.07,PC 33:1 (d7),210
PC 40:5a,5.77,0.1,836.5694,184.07,PC 33:1 (d7),210
PC 40:4a,6.08,0.1,838.57,184.07,PC 33:1 (d7),210
PC 40:3ab,6.58,0.1,840.57,184.07,PC 33:1 (d7),210
PC 40:2,6.67,0.05,842.66,184.07,PC 33:1 (d7),210
PCe 36:0,6.77,0.1,776.62,184.07,PCP 36:1 (d9),10
PCe 38:1,6.72,0.2,802.67,184.07,PCP 36:1 (d9),10
PCe 42:4,6.55,0.1,852.65,184.07,PCP 36:1 (d9),10
PCe 42:3,6.84,0.2,854.67,184.07,PCP 36:1 (d9),10
PCe 42:2a,7.16,0.05,856.68,184.07,PCP 36:1 (d9),10
PCe 44:5,6.79,0.2,878.67,184.07,PCP 36:1 (d9),10
PCe 44:4,7.19,0.1,880.68,184.07,PCP 36:1 (d9),10
Dihydro SM C22:0,6.7,0.08,789.68,184.07,SM C18:1 (d9),40
SM C23:0,6.72,0.2,801.69,184.07,SM C18:1 (d9),40
SM C24:0,6.93,0.2,815.7,184.07,SM C18:1 (d9),40
Dihydro SM C24:0,7.07,0.08,817.72,184.07,SM C18:1 (d9),40
SM C26:1,6.93,0.2,841.72,184.07,SM C18:1 (d9),40
SM C26:0,7.29,0.2,843.73,184.07,SM C18:1 (d9),40
